Red Cross,water,200,Tenmaru
OxFam,water,350,Norsup
Amnesty,tarpaulin,500,Malekula
Amnesty,taro,500,Tenmaru
Red Cross,tarpaulin,700,Melip
UN,yams,1000,Bunlap
Groupx,hygiene kits,500,Wuro
Groupx,food cans,1000,Lamap
Groupx,sleeping mats,500,Leume
Groupt,med kits,100,Lamap
Groupt,water,800,Fanla
UN,tarpaulin,500,Fanla
Amnesty,kitchen sets,100,Malekula
Red Cross,med kits,100,Bunlap
Amnesty,shelter tools,50,Ambrym
OxFam,med kits,80,Wuro
Groupx,shelter tools,60,Leume
Amnesty,food cans,500,Melip
OxFam,tarpaulin,50,Tenmaru
Red Cross,rice,500,Wuro
Groupx,rice,400,Norsup
OxFam,rice,700,Melip
YY,yams,500,Ambrym
XXX,tarpaulin,700,Norsup
Red Cross,solar power kits,300,Tenmaru
Groupt,hygiene kits,700,Fanla
XXX,food cans,1000,Wuro
Global,rice,2000,Wuro
Global,soap,3000,Ambrym
Global,hygiene kits,1000,Bunlap
Global,tarpaulin,500,Malekula
Global,med kits,80,Norsup
Blue Cross,rice,5000,Leume
Groupx,blankets,700,Lamap
Red Cross,taro,800,Fanla
XXX,taro,500,Bunlap
Global,yams,1000,Ambrym
Groupt,solar power kits,600,Bunlap
UN,plastic sheets,100,Fanla
Red Cross,radio sets,500,Malekula
OxFam,radio sets,200,Fanla
UNICEF,buckets,500,Wuro
UNICEF,rice,300,Wuro
UNICEF,radio sets,250,Fanla
Westpac,solar power kits,300,Wuro
